1.375,244.84,1.375,8.146,1.375,4.6842,1.375,916.31,1.375,16.224,1.375,0.012341,1.375,1.4712,1.375,1.2511,1.375,0.44788
1.4167,245.39,1.4167,8.0907,1.4167,4.6243,1.4167,893.68,1.4167,16.534,1.4167,0.012067,1.4167,1.4677,1.4167,1.2511,1.4167,0.44681
1.4583,245.92,1.4583,8.0415,1.4583,4.5716,1.4583,871.62,1.4583,16.835,1.4583,0.011809,1.4583,1.4642,1.4583,1.2511,1.4583,0.44574
1.5,246.44,1.5,7.9977,1.5,4.5252,1.5,850.1,1.5,17.128,1.5,0.011565,1.5,1.4608,1.5,1.2511,1.5,0.44467
1.5417,246.94,1.5417,7.9586,1.5417,4.4842,1.5417,829.11,1.5417,17.413,1.5417,0.011335,1.5417,1.4573,1.5417,1.2511,1.5417,0.44361
1.5833,247.43,1.5833,7.9235,1.5833,4.4479,1.5833,808.64,1.5833,17.691,1.5833,0.011118,1.5833,1.4538,1.5833,1.2511,1.5833,0.44255
1.625,247.91,1.625,7.8918,1.625,4.4158,1.625,788.67,1.625,17.96,1.625,0.010912,1.625,1.4504,1.625,1.2511,1.625,0.44149
1.6667,248.39,1.6667,7.8632,1.6667,4.3873,1.6667,769.2,1.6667,18.222,1.6667,0.010716,1.6667,1.4469,1.6667,1.2511,1.6667,0.44044
1.7083,248.85,1.7083,7.8373,1.7083,4.3619,1.7083,750.21,1.7083,18.476,1.7083,0.010531,1.7083,1.4435,1.7083,1.2511,1.7083,0.43939
1.75,249.3,1.75,7.8136,1.75,4.3392,1.75,731.69,1.75,18.724,1.75,0.010354,1.75,1.4401,1.75,1.2511,1.75,0.43835
1.7917,249.75,1.7917,7.7919,1.7917,4.3189,1.7917,713.62,1.7917,18.964,1.7917,0.010186,1.7917,1.4366,1.7917,1.2511,1.7917,0.43732
1.8333,250.19,1.8333,7.7719,1.8333,4.3006,1.8333,696,1.8333,19.198,1.8333,0.010026,1.8333,1.4332,1.8333,1.2511,1.8333,0.43629
1.875,250.62,1.875,7.7534,1.875,4.2841,1.875,678.82,1.875,19.425,1.875,0.0098727,1.875,1.4298,1.875,1.2511,1.875,0.43527
1.9167,251.05,1.9167,7.7362,1.9167,4.2692,1.9167,662.06,1.9167,19.645,1.9167,0.0097266,1.9167,1.4264,1.9167,1.2511,1.9167,0.43427
1.9583,251.48,1.9583,7.7201,1.9583,4.2556,1.9583,645.71,1.9583,19.859,1.9583,0.0095869,1.9583,1.423,1.9583,1.2511,1.9583,0.43327
