,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP18,0.0,0.0,0.0,150000.0,0.00093,-0.03339882928109058,0.09016876227787292,-10.089212953139173,8.3,0.024155093690701755,0.5743867525483938,0.17393676802866542,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-76.73808027236397,0.2,4.459895233254287,0.5486455556927033,126.0,0.1321857849005733,-32.778360392065935,0.0,0.10108470011781279,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07198992121730555
VP19,0.0,0.0,0.0,150000.0,0.00093,-0.04141795540284824,0.09818788839963058,-10.164159313434102,8.3,0.04112230427181649,0.7421448751901252,0.22473756650355847,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-66.96594120590474,0.2,3.1883397785877596,0.42397994932504024,126.0,0.15840761871864925,-28.96257275659137,0.0,0.08821216351621188,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07839231871232624
VP2,0.0,0.0,0.0,150000.0,0.00093,-0.049656384744159766,0.1064263177409421,-10.187871846404976,8.3,0.01929415227539486,0.5263256760264243,0.15938283153705834,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-69.64892878783316,0.2,2.7204594819976604,0.39218887967527294,126.0,0.1512082886609386,-30.01021552667771,0.0,0.0917463800899971,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08496980590692309
VP3,0.0,0.0,0.0,150000.0,0.00093,-0.03684116517720224,0.09361109817398458,-9.925343899979334,8.3,0.04749425538131046,0.8051455994743744,0.24381555240216973,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-85.27152328938082,0.2,4.291912616113105,0.554208597577245,126.0,0.1092877762694586,-36.11046671299632,0.0,0.11232554071854182,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07473825094596363
VP4,0.0,0.0,0.0,150000.0,0.00093,-0.03305771811833793,0.08982765111512027,-10.183268833893408,8.3,0.02151832741961086,0.5483165297873472,0.16604213907226073,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-69.55555965148947,0.2,3.0700447424362602,0.4202284000534983,126.0,0.15145882848239328,-29.973757102010175,0.0,0.09162338781401025,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07171758116169703
VP5,0.0,0.0,0.0,150000.0,0.00093,-0.06293597885165211,0.11970591184843447,-10.059819111771187,8.3,0.01994977909774077,0.5328079863828912,0.16134581572455942,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-80.0506409939825,0.2,3.0578650360805666,0.4427805901299331,126.0,0.1232971049335945,-34.07183648336459,0.0,0.1054482339197842,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.09557211328528185
VP6,0.0,0.0,0.0,150000.0,0.00093,-0.027372373763185985,0.08414230675996832,-9.989736380406915,8.3,0.028888016638155954,0.6211820854923149,0.18810740990885955,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-83.92172385097652,0.2,3.9014021205828247,0.5196255675782251,126.0,0.11290972805717442,-35.58340217038131,0.0,0.11054749165911769,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.06717845384220095
VP7,0.0,0.0,0.0,150000.0,0.00093,-0.04855891601986257,0.10532884901664491,-10.262383909218547,8.3,0.043177085988835365,0.7624609030744796,0.23088970043371407,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-58.4440728800049,0.2,4.540474018062585,0.5141305203698301,126.0,0.18127456868134936,-25.6349860769543,0.0,0.07698656989815908,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08409359684067089
VP8,0.0,0.0,0.0,150000.0,0.00093,-0.02469160657925546,0.0814615395760378,-10.12794843385215,8.3,0.03881852817148209,0.719366991239704,0.2178399291550466,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-70.43589274725909,0.2,3.5949218185024527,0.4646163498827347,126.0,0.14909660788925275,-30.317506215596403,0.0,0.0927830233779156,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.06503815365954606
VP9,0.0,0.0,0.0,150000.0,0.00093,-0.04206587825420922,0.09883581125099156,-9.684439857554706,8.3,0.03916601252745915,0.7228026368885514,0.21888031718210493,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-106.87043673593385,0.2,2.6206098116995657,0.46759373268554616,126.0,0.05133085248903074,-44.54432815403132,0.0,0.14077712148347915,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07890961443476974
