,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0.0,0.0,0.0,150000.0,0.00093,0.004117885714939047,0.05265204728184329,-10.534043737556273,8.3,0.06321676922434481,0.9605971625292834,0.2908896576854337,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-31.826655896092113,0.2,1.7251954808135241,0.2269439719615305,63.0,0.08364824150446205,-15.241518492759777,0.0,0.04192426961412938,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.04203691655507951
VP1,0.0,0.0,0.0,150000.0,0.00093,-0.015830549753953725,0.07260048275073606,-10.408871028626715,8.3,0.06837178262356046,1.011565786152541,0.30632406250860544,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-41.035904592699026,0.2,1.314708136599744,0.2144265216096547,63.0,0.05893682599251965,-18.83751084095867,0.0,0.054055328138173826,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.05796356633417385
VP10,0.0,0.0,0.0,150000.0,0.00093,0.020005399359056777,0.03676453363772556,-10.602848183109073,8.3,0.054609697422557654,0.8754973637139418,0.2651195926549331,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-27.990478900941348,0.2,1.6907420353009277,0.21555683852049815,63.0,0.09394195457786973,-13.743582713700906,0.0,0.03687099228718379,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.029352469894336423
VP11,0.0,0.0,0.0,150000.0,0.00093,0.020443040988210225,0.036326892008572115,-10.51144335710592,8.3,0.04755912506119635,0.8057869786605406,0.24400977593226972,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-37.011757130068304,0.2,2.045658086856956,0.2644677407710666,63.0,0.06973492508903285,-17.266177069836196,0.0,0.04875444312715826,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.029003060790692765
VP12,0.0,0.0,0.0,150000.0,0.00093,-0.013212588140337482,0.06998252113711982,-10.600850899568863,8.3,0.07715018160224403,1.098359530205153,0.33260709090130264,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-23.368700751179006,0.2,1.8007380999580578,0.21408042777872827,63.0,0.10634369157351345,-11.938888388555611,0.0,0.030782866852958696,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.05587340954868571
VP13,0.0,0.0,0.0,150000.0,0.00093,0.011618646277874553,0.045151286718907786,-10.392458601366657,8.3,0.08480108349193201,1.1740054904762376,0.3555143285518937,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-38.89837189702383,0.2,2.8304109296067046,0.33211215236917624,63.0,0.06467252282875059,-18.002855216933114,0.0,0.05123962241856955,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0360483774163083
VP14,0.0,0.0,0.0,150000.0,0.00093,0.00446511394839872,0.052304819048383626,-10.287215432233046,8.3,0.05984030605679556,0.9272134121803911,0.2807803339334502,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-52.861789107949264,0.2,1.8987993505030825,0.2881460083464466,63.0,0.027204123827546528,-23.455237175484953,0.0,0.06963320011006972,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.04175969268575155
VP15,0.0,0.0,0.0,150000.0,0.00093,-0.008354048429398998,0.06512398142618134,-10.333638627616335,8.3,0.11494263577740715,1.4720209008906635,0.44575985925092243,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-37.34007995961188,0.2,2.1766875237046115,0.2757921277937269,63.0,0.06885392793821239,-17.394379317562734,0.0,0.049186932637561034,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.05199439555109152
VP16,0.0,0.0,0.0,150000.0,0.00093,0.019149620590937493,0.037620312405844854,-10.438681231814819,8.3,0.08181848096827378,1.1445159171864292,0.3465842460842595,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-35.72677842577964,0.2,1.6666775157344906,0.23096177630072617,63.0,0.07318294172228698,-16.764423480542526,0.0,0.04706178041628805,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.03003571589372694
VP17,0.0,0.0,0.0,150000.0,0.00093,0.0011639521154451563,0.05560598088133718,-10.368256025325817,8.3,0.08179381066059047,1.144271997039263,0.3465103817726838,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-41.529213731352485,0.2,1.8917568186205798,0.2621623541194987,63.0,0.057613116805949924,-19.030136314147164,0.0,0.054705149011580786,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.04439531032401452
