,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,v3*x17/(x14*x18),0,-p19*v3*x16/(x14*x18),0,0,0,v3*x17/(x14*x18),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,p19*x16/x18,0,0,0,-x17/x18,0,0,0,0,0,0,0,0,0,0,x2/x18,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x8**p2*x9/(k3*p19*x12*(p1**p2 + x8**p2)),-k2*x6/(k3*p19*x12*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3**2*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(-k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) + k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14**2*x19**3*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3**2*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19**2*p27*p29*x11*x12**2*x14**2*x19**3*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),-x24/(p19*x12),0,0,0,0,0,0,0,-k2*x11*x6/(k3*x12*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
