,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd*PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP18,0.0,0.0,0.0,150000.0,0.00093,-0.05004165077197826,0.1068115837687606,-10.128164693262445,8.3,0.03844525182120763,0.6501669902924031,0.21672231842256456,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-70.49735144982397,0.2,4.450246278652621,0.5338703203334274,126.0,0.14893169416111496,-30.34150437564555,0.0,0.09286398102627416,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08527739880594598
VP19,0.0,0.0,0.0,150000.0,0.00093,-0.03904342793303645,0.0958133609298188,-9.975457764494996,8.3,0.03662880216966758,0.6338513271106102,0.21128376432161033,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-83.45343914597669,0.2,3.435811627165141,0.4809524490307989,126.0,0.11416628853288427,-35.40054814271471,0.0,0.10993063469831468,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07649651753726647
VP2,0.0,0.0,0.0,150000.0,0.00093,-0.05094351449335625,0.1077134474901386,-9.905571391922717,8.3,0.049500505591543655,0.7494671810536064,0.24982238022652106,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-86.47313625016301,0.2,3.8256702118532906,0.5192277325619069,126.0,0.10606345709460946,-36.57966796434937,0.0,0.11390838831346776,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08599743861364201
VP3,0.0,0.0,0.0,150000.0,0.00093,-0.04083717090457951,0.09760710390136185,-10.180956569879703,8.3,0.02603933497066596,0.5387349114438892,0.1795782941406875,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-68.78591929229428,0.2,2.903747745391641,0.4050644458567319,126.0,0.15352402438896495,-29.673230866514906,0.0,0.09060956436896597,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0779286256414848
VP4,0.0,0.0,0.0,150000.0,0.00093,-0.04414899338892366,0.10091892638570599,-10.027898120824196,8.3,0.021499797011966845,0.4979600007425091,0.16598665797241344,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-82.3491567070997,0.2,3.441854915136975,0.4789643115861735,126.0,0.11712943819781671,-34.969352142772266,0.0,0.10847599759007512,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08057275464703668
VP5,0.0,0.0,0.0,150000.0,0.00093,-0.028210317961797148,0.08498025095857949,-10.232870732338032,8.3,0.02792915467981946,0.5557095971021018,0.18523652238861443,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-64.1112179053552,0.2,3.8534773057752845,0.4713256333155622,126.0,0.16606777167743453,-27.847871277329176,0.0,0.08445172479099,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.06784746088320498
VP6,0.0,0.0,0.0,150000.0,0.00093,-0.04597239481392252,0.10274232781070486,-10.137533480104096,8.3,0.02931857694742144,0.5681896268768093,0.1893965320894158,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-71.66407510736663,0.2,3.2999149119339353,0.4435320843251298,126.0,0.14580099435714805,-30.797082184781253,0.0,0.09440087002094882,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.08202854179124376
VP7,0.0,0.0,0.0,150000.0,0.00093,-0.039452459041731135,0.09622239203851347,-10.286752450418021,8.3,0.03400044125237969,0.6102429372990351,0.20341430147501588,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-58.38667113319939,0.2,4.572313954428367,0.516574677985961,126.0,0.18142859627503843,-25.612572061534998,0.0,0.07691095635216627,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07682308426111271
VP8,0.0,0.0,0.0,150000.0,0.00093,-0.036237859719490374,0.09300779271627273,-10.161071511817823,8.3,0.031186901158028156,0.5849712362700582,0.19499040158582184,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-69.3297780503451,0.2,3.1391596616251514,0.4253070238667187,126.0,0.15206467409962438,-29.88559476251571,0.0,0.09132597269282408,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.0742565773455564
VP9,0.0,0.0,0.0,150000.0,0.00093,-0.042511257057967815,0.09928119005475014,-9.919667621287998,8.3,0.023005966395396624,0.5114886731909495,0.17049621521229552,26.496757185082508,1440.0,0.2055378959302301,720.0,0.3693739973378795,26.496757185082508,0.00033999999999999997,0.015,0.010000000000000002,0.216,0.36,0.0075,0.216,0.36,0.0025,0.0,0.00125,-90.93855850711142,0.2,3.58617868955346,0.5098893675345316,126.0,0.09408127391517332,-38.323309036110174,0.0,0.11979055096519096,0.693,7.6200018047999984,0.031101435449983318,0.693,0.5,0.14,0.86,0.0,0.1,1.25,0.33299999999999996,3.33,0.0,0.0,0.07926520082837721
