,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0,0,0,150000,0.00093,-0.034611175,0.091381108,-10.14323179,8.3,0.021819693,0.500833364,0.166944446,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-72.7873003,0.2,6.881250538,0.404090896,126,0.142787015,-31.23567488,0,0.09588046,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.072957847
VP1,0,0,0,150000,0.00093,-0.040763994,0.097533927,-9.89836428,8.3,0.055356029,0.802062502,0.267354153,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-85.82305775,0.2,6.451124355,0.435820467,126,0.10780783,-36.32582779,0,0.11305206,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.077870202
VP10,0,0,0,150000,0.00093,-0.077853117,0.13462305,-10.19688041,8.3,0.049103121,0.745897804,0.248632588,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-62.57780976,0.2,9.011523946,0.575774198,126,0.170182405,-27.24911191,0,0.082431814,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.107481821
VP11,0,0,0,150000,0.00093,-0.059427489,0.116197422,-9.921992047,8.3,0.036662479,0.634153817,0.211384594,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-87.84742972,0.2,7.247553422,0.514469368,126,0.10237578,-37.11629684,0,0.115718703,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.092770967
VP12,0,0,0,150000,0.00093,-0.043636338,0.100406271,-10.12488881,8.3,0.030184953,0.575971563,0.191990511,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-72.52098364,0.2,7.627886355,0.466087892,126,0.143501629,-31.13168456,0,0.095529649,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.080163455
VP13,0,0,0,150000,0.00093,-0.057487715,0.114257648,-10.29071258,8.3,0.034793208,0.617363705,0.205787891,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-57.89235065,0.2,8.434570554,0.458475206,126,0.182755019,-25.41955168,0,0.076259803,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.091222269
VP14,0,0,0,150000,0.00093,-0.050220453,0.106990386,-10.14244451,8.3,0.03025189,0.576572809,0.192190926,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-71.06163606,0.2,7.421360151,0.438480848,126,0.147417535,-30.56184408,0,0.093607296,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.085420153
VP15,0,0,0,150000,0.00093,-0.044022456,0.100792389,-10.11455656,8.3,0.038048718,0.646605258,0.215535074,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-71.70173233,0.2,8.327940794,0.541089812,126,0.145699948,-30.81178644,0,0.094450475,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.080471728
VP16,0,0,0,150000,0.00093,-0.048439265,0.105209198,-10.20264439,8.3,0.031514909,0.587917463,0.195972477,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-65.83797196,0.2,9.245882855,0.647808403,126,0.161434328,-28.52212762,0,0.086726325,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.083998069
VP17,0,0,0,150000,0.00093,-0.031372792,0.088142725,-10.09514684,8.3,0.04446767,0.704261385,0.234753783,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-71.93649977,0.2,6.028911106,0.346098579,126,0.14506999,-30.90345753,0,0.094759727,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.070372351
