,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0,0,0,150000,0.00093,-0.227413507,0.28418344,-8.434940573,8.3,0.083807183,1.164178607,0.352538535,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-200.2465689,0.2,8.601967432,1.525859445,252,0.138871322,-81.00548452,0,0.263778613,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.226889479
VP1,0,0,0,150000,0.00093,-0.223350006,0.280119939,-8.13858221,8.3,0.063536359,0.963757014,0.291846529,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-228.9461767,0.2,7.474604278,1.337370114,252,0.061860921,-92.21199806,0,0.301583719,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.223645216
VP10,0,0,0,150000,0.00093,-0.238953132,0.295723065,-8.139884191,8.3,0.106150185,1.385088227,0.41943476,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-219.7904908,0.2,6.275479414,1.032802705,252,0.08642861,-88.63692071,0,0.289523217,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.236102611
VP11,0,0,0,150000,0.00093,-0.26609344,0.322863373,-7.807165997,8.3,0.114949278,1.472086576,0.445779747,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-245.310502,0.2,6.986566694,1.300527148,252,0.017950103,-98.60187743,0,0.323139938,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.257771186
VP12,0,0,0,150000,0.00093,-0.26696932,0.323739253,-7.988915811,8.3,0.05433961,0.872826956,0.264310935,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-243.2190909,0.2,5.874723124,1.06915481,252,0.023562041,-97.78523121,0,0.320384987,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.25847048
VP13,0,0,0,150000,0.00093,-0.27543675,0.332206683,-8.0991167,8.3,0.083280873,1.158974874,0.350962732,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-228.0023626,0.2,5.934805831,1.01355741,252,0.064393482,-91.84346111,0,0.300340462,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.2652308
VP14,0,0,0,150000,0.00093,-0.247268884,0.304038817,-8.146503464,8.3,0.117169073,1.494034118,0.452425939,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-216.9058893,0.2,5.909043988,0.96189308,252,0.094168936,-87.5105525,0,0.28572342,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.242741831
VP15,0,0,0,150000,0.00093,-0.249622955,0.306392888,-8.083317367,8.3,0.111426655,1.437257709,0.435232811,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-223.3265143,0.2,8.549235424,1.672246854,252,0.076940307,-90.01765368,0,0.294181111,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.2446213
VP16,0,0,0,150000,0.00093,-0.233492279,0.290262212,-8.104814512,8.3,0.063472854,0.963129127,0.291656392,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-231.7393194,0.2,6.119094088,1.059991811,252,0.054366009,-93.30265375,0,0.305263039,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.231742715
VP17,0,0,0,150000,0.00093,-0.233349823,0.290119756,-8.110637087,8.3,0.072292618,1.050331846,0.318063266,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-229.3872561,0.2,5.182152837,0.912845596,252,0.060677361,-92.38422903,0,0.302164739,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.231628979
