,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0,0,0,150000,0.00093,-0.025571723,0.082341656,-10.15194232,8.3,0.044050626,0.771097764,0.233505129,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-67.34981602,0.2,8.750609344,0.570865543,126,0.157377557,-29.11246673,0,0.08871783,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.065740831
VP1,0,0,0,150000,0.00093,-0.037740428,0.094510361,-10.0360109,8.3,0.050628008,0.836129626,0.253198188,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-75.49632637,0.2,8.103868209,0.537359551,126,0.135517815,-32.29348506,0,0.099448976,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.075456214
VP10,0,0,0,150000,0.00093,-0.064477253,0.121247186,-10.0614142,8.3,0.032490607,0.656801599,0.198893771,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-77.25645087,0.2,8.206668032,0.562329804,126,0.130794828,-32.98077177,0,0.101767534,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.096802652
VP11,0,0,0,150000,0.00093,-0.042917233,0.099687166,-9.98022429,8.3,0.042841382,0.759141737,0.229884585,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-81.7419093,0.2,7.681277137,0.52590821,126,0.118758881,-34.73223649,0,0.107676089,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.079589328
VP12,0,0,0,150000,0.00093,-0.036944948,0.093714881,-10.06231155,8.3,0.035845962,0.689976653,0.208939897,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-76.47011587,0.2,6.908995873,0.424840262,126,0.132904821,-32.67372667,0,0.100731719,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.07482111
VP13,0,0,0,150000,0.00093,-0.040923717,0.09769365,-10.10219283,8.3,0.062434714,0.952864826,0.288548138,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-67.54141795,0.2,8.136336055,0.489392795,126,0.156863427,-29.18728272,0,0.088970221,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.077997724
VP14,0,0,0,150000,0.00093,-0.049362662,0.106132595,-10.11297408,8.3,0.042758496,0.758322218,0.229636417,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-70.8319348,0.2,7.127659273,0.412724469,126,0.148033898,-30.47215121,0,0.093304717,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.0847353
VP15,0,0,0,150000,0.00093,-0.045578749,0.102348682,-10.12868109,8.3,0.059188664,0.920770503,0.278829281,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-66.05024004,0.2,8.713844717,0.555282573,126,0.160864743,-28.60501325,0,0.087005939,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.081714259
VP16,0,0,0,150000,0.00093,-0.045516343,0.102286276,-10.01900083,8.3,0.024059481,0.573441409,0.173650497,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-82.53803879,0.2,7.508370921,0.511763811,126,0.116622606,-35.0431061,0,0.108724806,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.081664434
VP17,0,0,0,150000,0.00093,-0.021513909,0.078283842,-10.20412753,8.3,0.042026772,0.751087522,0.227445594,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-63.48382217,0.2,8.120166025,0.46106788,126,0.167751279,-27.60288818,0,0.083625276,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.062501108
