,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP0,0,0,0,150000,0.00093,0.045402936,0.011366997,-10.273523,8.3,0.036620948,0.697639083,0.211260247,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-58.91924878,0.2,8.864495127,0.522738792,126,0.179999517,-25.82053095,0,0.077612504,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.009075307
VP1,0,0,0,150000,0.00093,0.027540854,0.029229079,-10.03502421,8.3,0.031767245,0.649649575,0.196727983,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-79.58239464,0.2,7.911836023,0.539646891,126,0.124553563,-33.88899743,0,0.104831427,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.023336231
VP10,0,0,0,150000,0.00093,0.035181657,0.021588276,-10.22440442,8.3,0.043054184,0.761245743,0.230521724,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-61.59653043,0.2,6.878510416,0.347387152,126,0.172815498,-26.86594569,0,0.081139205,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.017235884
VP11,0,0,0,150000,0.00093,0.034863195,0.021906738,-10.16420329,8.3,0.019984446,0.533150742,0.16144961,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-71.45067957,0.2,9.087792289,0.664038784,126,0.146373604,-30.71375631,0,0.094119771,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.017490141
VP12,0,0,0,150000,0.00093,0.042110738,0.014659195,-10.21981215,8.3,0.036620039,0.697630099,0.211257527,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-63.34076174,0.2,8.073751402,0.455169693,126,0.168135157,-27.54702649,0,0.083436827,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.011703768
VP13,0,0,0,150000,0.00093,0.040124586,0.016645347,-9.793924229,8.3,0.043411796,0.764781525,0.231592435,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-96.95646495,0.2,6.33664258,0.478726381,126,0.07793327,-40.67315822,0,0.127717753,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.013289494
VP14,0,0,0,150000,0.00093,0.036062451,0.020707482,-10.07537494,8.3,0.027015822,0.602671327,0.182501951,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-77.26974555,0.2,7.686173564,0.499988066,126,0.130759154,-32.98596303,0,0.101785046,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.016532666
VP15,0,0,0,150000,0.00093,0.041429779,0.015340154,-10.0125019,8.3,0.036809299,0.699501349,0.211824182,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-80.36574821,0.2,7.598676217,0.508817724,126,0.12245157,-34.19487835,0,0.105863315,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.01224744
VP16,0,0,0,150000,0.00093,0.044662384,0.012107549,-10.14597363,8.3,0.025829784,0.590944741,0.178950886,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-71.71010795,0.2,7.334704178,0.434512941,126,0.145677473,-30.81505691,0,0.094461508,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.009666557
VP17,0,0,0,150000,0.00093,0.045780625,0.010989308,-9.861314195,8.3,0.026393871,0.596521979,0.180639795,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-95.02266281,0.2,7.679715373,0.604229734,126,0.083122291,-39.91805453,0,0.125170415,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.008773764
